word,x_coord,y_coord,word_count
painga,-21.770977,-33.25397,196
hauraki,54.14198,-9.331734,196
ngāti_awa,47.792377,34.75909,196
rapu,-18.20152,-33.060402,195
kuhu,11.0179615,-10.598967,195
pirimia,-22.811682,54.70837,194
mehemea,-23.417984,-4.5555406,194
maori,-52.18618,28.006403,193
mere,23.483171,54.431828,193
hokonga,-64.806915,-4.827611,193
tiamana,-25.77181,42.529743,193
tuhia,-49.110054,18.529808,192
wehenga,7.7883368,-0.5953867,192
rangatahi,-33.665752,27.845165,192
ngākau,-21.424139,-13.416366,191
aroaro,-64.88751,0.13544583,191
reta,-52.326565,20.66891,191
hīkoi,9.551751,-11.728266,190
eruera,2.414901,54.581512,189
tō_rātau,9.740967,11.275928,189
kiri,19.056349,-49.089622,188
taitara,-68.17782,-8.513574,188
here,-12.056616,-28.938278,188
whakakotahi,-36.484753,-0.50969285,188
kōiwi,24.435625,-46.695423,187
mākarini,9.7613125,33.90701,187
taumata,-0.9660056,-8.930809,187
hokowhitu,14.393038,17.205832,187
hekenga,9.512567,-2.435024,186
mauri,23.449165,-27.764034,185
hea,-9.574844,-24.883154,185
rāhui,-69.62797,-10.700607,185
kimi,-18.190187,-33.093174,184
rongoā,-21.184381,-31.771275,184
hī_ika,5.6670327,-62.664967,183
taiao,-41.734707,-30.0195,183
whakarērea,22.53826,-8.776729,183
kapa,-25.617226,28.921194,183
tītokowaru,24.033924,15.322093,183
tana_pāpā,18.785133,53.24419,183
ngana,-28.767607,-8.295557,182
hono,11.129235,-0.7131769,182
rīhi,-64.96573,-12.676062,181
nama,-67.98382,-13.9069,181
maketū,56.02524,-1.4299511,181
whakaeke,27.237091,-3.2038615,181
whakahirahira,-10.893518,-14.494536,181
nāianei,-6.656568,-13.560248,181
mēnā,-19.780844,-26.240376,180
whakamana,-53.28995,-3.3494613,180
tuahine,21.861729,53.097347,180
kawa,21.799635,-27.97748,179
tiki,25.293463,-31.046385,179
rangihaeata,33.83802,25.32364,179
kainga,32.93658,-54.287357,178
rangahau,-52.97581,-15.261416,178
rangimārie,5.406782,26.951267,177
mōrehu,20.34933,14.470343,177
mauria,-15.807718,3.1119514,176
nūpepa,-52.23377,19.319275,176
mihi,4.1943297,20.070995,176
tokowhā,25.392677,44.779346,176
kaiwhakawā,-37.082832,44.535957,175
mita,0.5407909,-17.999588,175
petihana,-63.18068,1.2513235,175
kāhui,-5.5280304,9.861043,175
amerika,1.9301006,-30.689865,174
one,14.468192,-65.29373,174
hāngai,-27.840923,-24.929173,173
karaka,37.39132,2.443011,173
ahuriri,55.70061,3.5275788,173
hōne,13.369697,53.961716,173
puni,44.425934,11.812479,172
koroua,31.043293,46.75812,172
ngāti_apa,43.266857,23.690683,172
pīhopa,-11.828605,39.551113,172
haria,22.922564,3.951456,172
pirihimana,18.073915,16.356474,172
hōhipera,-9.177301,30.211237,172
tupuna,41.651146,35.414116,171
pūkenga,-38.044327,-24.949368,171
hia,1.6048656,-14.8874855,171
kāhore,-19.777912,-18.897348,171
tātai,40.12191,33.671646,171
tākuta,-20.420538,35.926746,171
ōna_mātua,21.79696,43.581905,171
pōwhiri,-11.234382,19.063988,170
urewera,59.07611,-6.2429795,170
taketake,-42.991394,-17.384338,170
moenga,28.588749,45.663086,170
karapu,-26.560333,27.920794,169
kitenga,-17.176044,-14.658954,169
mahuta,0.911894,32.768444,169
taputapu,-0.38693053,-58.265995,168
tāpiri,-9.462732,-25.788496,168
paremata,-61.73508,1.0296293,168
ua,9.704741,23.88903,168
rima,3.1076307,-15.070785,168
pāora,8.127097,54.080856,168
waitaha,62.757523,-12.950307,167
toka,44.189644,-21.945227,167
piri,-3.884333,14.218478,167
timi_kara,-16.043709,53.63662,167
ngātahi,-5.303627,12.1519,167
akona,-30.372534,15.379946,166
kōkiri,-35.643192,4.5766125,166
parihaka,23.114017,16.271637,166
to,-51.203884,28.540394,166
māhia,57.02131,8.492507,166
pūmau,-32.942326,2.3439763,165
mema_pāremata,-22.933521,48.05617,165
ōna_hoa,-4.4521585,13.3805275,165
tūpāpaku,37.40473,8.829189,165
hāpuku,18.962294,31.524591,164
kahungunu,42.3502,39.160778,164
puku,16.984392,-37.232117,163
pūtea,-63.39142,-17.874128,163
awe,-9.169743,2.305554,163
tuatoru,0.14763337,41.268288,162
kōtiro,-3.763351,20.587456,162
hākari,-8.318318,18.626547,161
puna,-8.695854,-2.5910797,161
whare_pāremata,-27.957659,48.811626,161
pire,-57.586823,-1.7136514,160
taunga,7.087193,-2.7377656,159
whai_pānga,40.687325,18.737318,159
huhua,-11.817817,-16.642784,159
nunui,-7.6805034,-21.077932,158
koha,-14.483713,10.6282625,158
takahi,-14.28842,-5.6253057,158
takutai,56.51704,-16.598326,158
waru,3.9097435,-16.380136,158
waihanga,-50.75431,-33.263123,158
whakaputaina,-49.315323,18.921911,158
rānana,-9.355411,26.760149,158
tānga,-39.921295,11.461887,157
whetū,-3.7316194,-8.073771,157
rīwai,-1.6878191,-55.17046,157
wiki,-21.9052,-47.880653,157
wātea,-17.484446,-27.811665,156
pakari,-24.824532,-24.997475,156
ōtaki,48.721638,6.47963,156
tōtika,-22.27475,-27.86637,156
tai_hauāuru,63.280388,-1.5592198,155
tautokona,-58.025578,9.887891,155
kaitākaro,-29.540295,29.789982,155
wero,12.112574,-30.989233,154
whakatōhea,47.980137,34.8896,154
kapa_haka,-37.014877,26.590498,154
nōhia,-0.58977795,-21.452917,153
pikitia,-39.756123,11.385604,153
kete,12.849571,-46.330654,153
pūrongo,-56.307434,-3.739556,153
poihākena,-9.090291,28.130476,153
